"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 29 10:39:34 GMT 2022","Thu Dec 29 10:39:35 GMT 2022","665","Simple Test Suite","Test Classes in parallel","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"failed","Thu Dec 29 10:39:34 GMT 2022","Thu Dec 29 10:39:34 GMT 2022","53","Simple Test Suite","Test Classes in parallel","failingTest.FailingTest","failingTest.FailingTest","failingTest","failingTest",""
"passed","Thu Dec 29 10:39:34 GMT 2022","Thu Dec 29 10:39:35 GMT 2022","1001","Simple Test Suite","Test Classes in parallel","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
