"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 29 11:43:55 GMT 2022","Thu Dec 29 11:43:55 GMT 2022","805","Simple Test Suite","Test Classes in parallel","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
"failed","Thu Dec 29 11:43:55 GMT 2022","Thu Dec 29 11:43:55 GMT 2022","25","Simple Test Suite","Test Classes in parallel","failingTest.FailingTest","failingTest.FailingTest","failingTest","failingTest",""
"passed","Thu Dec 29 11:43:55 GMT 2022","Thu Dec 29 11:43:55 GMT 2022","572","Simple Test Suite","Test Classes in parallel","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
