"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 29 10:36:07 GMT 2022","Thu Dec 29 10:36:07 GMT 2022","15","Simple Test Suite","Test Classes in parallel","failingTest.FailingTest","failingTest.FailingTest","failingTest","failingTest",""
"passed","Thu Dec 29 10:36:07 GMT 2022","Thu Dec 29 10:36:08 GMT 2022","833","Simple Test Suite","Test Classes in parallel","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
"passed","Thu Dec 29 10:36:07 GMT 2022","Thu Dec 29 10:36:07 GMT 2022","476","Simple Test Suite","Test Classes in parallel","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
