"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 29 09:52:08 GMT 2022","Thu Dec 29 09:52:08 GMT 2022","61","Simple Test Suite","Test Classes in parallel","failingTest.FailingTest","failingTest.FailingTest","failingTest","failingTest",""
"passed","Thu Dec 29 09:52:08 GMT 2022","Thu Dec 29 09:52:09 GMT 2022","789","Simple Test Suite","Test Classes in parallel","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"passed","Thu Dec 29 09:52:08 GMT 2022","Thu Dec 29 09:52:09 GMT 2022","1035","Simple Test Suite","Test Classes in parallel","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
