"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 29 10:43:52 GMT 2022","Thu Dec 29 10:43:53 GMT 2022","776","Simple Test Suite","Test Classes in parallel","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"passed","Thu Dec 29 10:43:52 GMT 2022","Thu Dec 29 10:43:53 GMT 2022","1223","Simple Test Suite","Test Classes in parallel","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
"failed","Thu Dec 29 10:43:52 GMT 2022","Thu Dec 29 10:43:52 GMT 2022","34","Simple Test Suite","Test Classes in parallel","failingTest.FailingTest","failingTest.FailingTest","failingTest","failingTest",""
