"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 29 09:21:50 GMT 2022","Thu Dec 29 09:21:51 GMT 2022","1062","Simple Test Suite","Test Classes in parallel","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
"passed","Thu Dec 29 09:21:50 GMT 2022","Thu Dec 29 09:21:50 GMT 2022","587","Simple Test Suite","Test Classes in parallel","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"failed","Thu Dec 29 09:21:50 GMT 2022","Thu Dec 29 09:21:50 GMT 2022","83","Simple Test Suite","Test Classes in parallel","failingTest.FailingTest","failingTest.FailingTest","failingTest","failingTest",""
