"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 29 08:31:13 GMT 2022","Thu Dec 29 08:31:13 GMT 2022","630","Simple Test Suite","Test Classes in parallel","keyPresses.KeyPressesTest","keyPresses.KeyPressesTest","keyPressesTest","keyPressesTest",""
"passed","Thu Dec 29 08:31:13 GMT 2022","Thu Dec 29 08:31:14 GMT 2022","913","Simple Test Suite","Test Classes in parallel","login.LoginTest","login.LoginTest","successfulLoginTest","successfulLoginTest",""
"failed","Thu Dec 29 08:31:13 GMT 2022","Thu Dec 29 08:31:13 GMT 2022","54","Simple Test Suite","Test Classes in parallel","failingTest.FailingTest","failingTest.FailingTest","failingTest","failingTest",""
